
COMETPLUS
3-86-150-0085-31,R*SCC-PANEL FRA,1
3-86-150-0084-34,R*SCC-FRONT PAN,1
3-86-160-0042-84,R*PC Sheet 10"-,1
3-86-390-0966-26,R*C/F Assy KB t,1
3-86-290-0132-87,R*PWA-Key Board,1
3-86-080-0216-73,R*MEMBRANE KEYP,1
0-00-080-0221-87,R* LABEL GUARAN,1
3-86-390-0799-42,R*ASSY C/F MB T,1
0-00-495-0027-37,R*OPTICAL ENCOD,1
0-00-000-0048-50,R*SCW/PHD/COMBI,4
3-86-100-0201-63,R*SCC-10.4"LVDS,1
3-86-390-0994-39,BACK PANEL ASSY,1
3-86-150-0089-19,R*SCC-BACK PANE,1
3-86-150-0092-10,R*SCC-BATTERY C,1
3-86-150-0090-16,R*SCC-HANDLE -T,1
0-00-020-0008-18,R* WSH/M3/MS/ZB,2
3-89-100-0077-42,R* FOOT / SELF,2
0-00-000-0291-97,R*SCW/PHD/M3x25,2
3-86-190-0119-13,R*SPEAKER BRACK,1
3-89-390-0287-21,R*ASSY C/F MB T,1
3-99-390-0104-36,R*ASSY. C/F SPE,1
3-86-080-0217-70,R*LABEL PERIPHE,1
3-86-080-0215-76,R*LABEL - Ext.,1
3-86-080-0213-82,R* Back panel,L,1
0-00-080-0082-19,R* LABEL, MODIF,1
3-00-000-0022-16,R* CIC LABEL,[G,1
0-00-000-0058-20,R* SCW/CSK/PHD/,4
0-00-000-0091-18,R*SCW PHD/MHD/M,4
3-86-390-0981-78,ACCESSORY SET -,1
3-89-100-0087-12,R*SCC 3L ECG De,1
3-86-082-0034-80,SIDE BUFFER SET,1
3-40-100-0084-38,R*ADULT CUFF AS,1
3-86-100-0020-24,R* SP02 PROBE D,1
3-86-081-0006-94,ACCESSORY CARTO,1
3-89-100-0042-50,R* C/F-MP506-SE,1
3-86-081-0024-40,EXTERNAL CARTON,1
3-40-390-0003-17,R*NIBP HOSE ASS,1
3-89-080-0017-83,R*LABEL NIBP CA,1
3-86-080-0022-73,R*LABEL CUFF-LU,1
3-89-100-0091-97,R* VELCRO ONE-W,1
3-00-010-0011-70,INSTRUCTION FOR,1
3-89-081-0017-56,BATTERY CARTON,1
3-89-082-0014-38,BATTERY BUFFER,1
0-00-080-0318-87,R*SPO2 Sensor L,1
PLANET 45
3-86-100-0213-27,R*LICENCE / WIN,1
3-89-081-0016-59,EXTERNAL CARTON,1
3-89-082-0012-44,SIDE BUFFER-PMS,1
3-86-100-0204-54,Li-Ion battery,1
3-86-081-0006-94,ACCESSORY CARTO,1
3-85-390-0320-58,CHASSIS ASSY -,1
3-89-190-0098-71,R*CHASSIS BOM -,1
0-00-000-0218-25,R* SCW/PAN/PHD/,2
0-00-000-0167-81,R* SCW/PAN/PHD/,2
3-86-290-0109-59,R*PWA -ECG MODU,1
0-00-000-0057-23,R*SCW/CSK/PHD/M,1
3-86-390-0802-33,R*ASSY C/F TEMP,1
